name,score,Native,Romaji,English,Hashtag,Season,Favorites,Popularity,Genres,Tags,Status Distribution,Prequel,Sequel,addictive,indecisive,forgettable,NoLoved,excelent,loved,choosed,Violence,Cliche,Action,Adventure,Comedy,Ecchi,Harem,Drama,Mystery,Romance,Fantasy,Mahou Shoujo,Magic,Horror,Sci-Fi,Mecha,Supernatural,Historical,Military,Politics,Isekai,Slice of Life,School life,Sports,Arts,Cute,Music,idol,Psychological,Spokon,Protagonist,Female Protagonist,Male Protagonist,Ensemble Cast,Shounen,Shoujo,Seinen,Josei,Worldbuilding,Iyashikei
Golden Kamuy 4th Season,80,ゴールデンカムイ 第四期,Golden Kamuy 4th Season,Golden Kamuy Season 4,#ゴールデンカムイ,Fall 2022,241,15628,"Action, Adventure, Comedy","Military, 94%, Historical, 90%, Educational, 84%, Seinen, 82%, Archery, 79%, Ensemble Cast, 79%, Rural, 79%, Revenge, 79%, Foreign, 79%, Gore, 79%, Environmental, 79%, Animals, 79%, Swordplay, 79%, Survival, 79%, Travel, 79%, Guns, 79%, Primarily Adult Cast, 76%, Outdoor, 75%, Cute Boys Doing Cute Things, 72%, Food, 66%, Detective, 60%, Nudity, 60%, Language Barrier, 50%, Ice Skating, 40%, Fishing, 40%, Tanned Skin, 40%, Show 1 spoiler tags","['Planning', '7567', 'Users', 'Current', '6188', 'Users', 'Paused', '1514', 'Users', 'Completed', '241', 'Users']",True,False,0.0,31.4,0.0,5187.72,19280,1.23,3.0,0.32,,3.57,3.03,2.06,0.25,,0.65,0.25,,0.32,,,,,,,0.37,0.47,0.32,,,,0.33,,0.3,,,,,0.32,,,0.32,,,0.34,,,
Mushikaburi-hime,66,虫かぶり姫,Mushikaburi-hime,Bibliophile Princess,#虫かぶり姫,Fall 2022,273,13516,"Drama, Romance","Female Protagonist, 83%, Ojou-sama, 80%, Heterosexual, 74%, Historical, 73%, Shoujo, 70%, Kuudere, 60%, Foreign, 20%","['Planning', '5390', 'Users', 'Completed', '3707', 'Users', 'Current', '3107', 'Users', 'Dropped', '972', 'Users']",False,False,3.81,1.45,0.26,3267.6,18018,1.33,2.64,,0.21,,,,,,1.75,,2.27,,,,,,,,0.26,,,,,,,,,,,,,0.29,0.29,,,,0.25,,,,
Shinmai Renkinjutsushi no Tenpo Keiei,64,新米錬金術師の店舗経営,Shinmai Renkinjutsushi no Tenpo Keiei,Management of a Novice Alchemist,#shinmai_renkin,Fall 2022,237,12580,"Fantasy, Slice of Life","Alchemy, 100%, Female Protagonist, 96%, Work, 94%, Magic, 92%, Rural, 89%, Primarily Female Cast, 82%, Cute Girls Doing Cute Things, 80%, Economics, 62%","['Completed', '4738', 'Users', 'Planning', '3741', 'Users', 'Current', '2812', 'Users', 'Dropped', '1018', 'Users']",False,False,4.65,0.79,0.21,3397.13,15168,1.21,2.01,,,,,,,,,,,2.66,,0.28,,,,,,,0.19,,2.07,,,,0.49,,,,,0.29,0.29,,,,,,,,
KanColle: Itsuka Ano Umi de,60,艦これ いつかあの海で,KanColle: Itsuka Ano Umi de,"""KanColle Season 2: Lets Meet at Sea""",#艦これ,Fall 2022,120,11040,"Action, Sci-Fi","Female Protagonist, 92%, Military, 88%, Ships, 88%, Primarily Female Cast, 88%, Historical, 79%, Tragedy, 79%, War, 79%, Ensemble Cast, 79%, CGI, 60%, Cute Girls Doing Cute Things, 45%, School, 34%, Kuudere, 20%","['Planning', '8909', 'Users', 'Current', '1712', 'Users', 'Dropped', '196', 'Users', 'Paused', '119', 'Users']",True,False,0.0,0.0,0.0,5520.0,7200,0.65,0.0,,0.03,0.72,0.13,,,,,,,,,,,0.72,,,0.11,0.24,,,,0.05,,,0.19,,,,,0.19,0.13,,0.11,,,,,,
Poputepipikku 2,74,ポプテピピック 2,Poputepipikku 2,Pop Team Epic Season 2,#ポプテピピック #PPTP,Fall 2022,138,10301,Comedy,"Surreal Comedy, 90%, Parody, 81%, Meta, 77%, Slapstick, 66%, Henshin, 66%, Satire, 64%, Cosmic Horror, 53%, Goblin, 40%, Space, 30%, CGI, 26%, Battle Royale, 20%, Super Robot, 20%, Crossover, 20%, Guns, 20%, Show 3 spoiler tags","['Planning', '4080', 'Users', 'Completed', '3462', 'Users', 'Current', '2291', 'Users', 'Dropped', '286', 'Users']",True,False,12.1,1.18,0.08,5523.72,10212,0.99,1.78,,,0.12,,3.15,,,,,,0.32,,,0.16,0.15,0.06,,,0.06,,,,,,,,,,,,,,,,,,,,,
4-nin wa Sorezore Uso wo Tsuku,68,4人はそれぞれウソをつく,4-nin wa Sorezore Uso wo Tsuku,The Little Lies We All Tell,#4ウソ,Fall 2022,103,7660,"Comedy, Sci-Fi, Slice of Life, Supernatural","Surreal Comedy, 100%, Aliens, 96%, Cute Girls Doing Cute Things, 95%, Ninja, 85%, Female Protagonist, 85%, Episodic, 84%, Primarily Female Cast, 82%, Primarily Teen Cast, 80%, Ensemble Cast, 79%, Super Power, 79%, Crossdressing, 76%, School, 68%, Male Protagonist, 68%, Urban, 44%, LGBTQ+ Themes, 35%, Swimming, 26%, Food, 20%, Show 3 spoiler tags","['Planning', '3072', 'Users', 'Completed', '2562', 'Users', 'Current', '1204', 'Users', 'Dropped', '649', 'Users']",False,False,3.95,1.2,0.25,5057.09,7004,0.91,1.86,,,0.2,,1.76,,,,,,,,,,1.26,,1.65,,,0.11,,1.26,0.17,0.07,,0.44,,,,,0.48,0.21,0.17,0.2,,,,,,
Berserk: Ougon Jidai-hen - MEMORIAL EDITION,74,ベルセルク 黄金時代篇 MEMORIAL EDITION,Berserk: Ougon Jidai-hen - MEMORIAL EDITION,Berserk: The Golden Age Arc - Memorial Edition,#ベルセルク #BERSERK,Fall 2022,195,7147,"Action, Adventure, Drama, Fantasy, Horror, Supernatural","Male Protagonist, 88%, Seinen, 85%, Primarily Adult Cast, 84%, War, 80%, Swordplay, 80%, Gore, 80%, Military, 75%, Politics, 75%, CGI, 55%, Anti-Hero, 20%, Show 3 spoiler tags","['Planning', '2826', 'Users', 'Completed', '2235', 'Users', 'Current', '1627', 'Users', 'Dropped', '297', 'Users']",False,True,7.53,1.26,0.13,2712.19,14430,2.02,3.74,0.49,,5.07,3.09,,,,3.09,,,4.08,,,3.09,,,3.09,,0.73,0.46,,,,,,,,,0.46,,0.54,,0.54,,,,0.53,,,
Uchi no Shishou wa Shippo ga Nai,63,うちの師匠はしっぽがない,Uchi no Shishou wa Shippo ga Nai,My Master Has No Tail,#しっぽな,Fall 2022,77,6926,"Comedy, Fantasy, Slice of Life","Rakugo, 92%, Primarily Female Cast, 85%, Historical, 84%, Female Protagonist, 84%, Kuudere, 79%, Shapeshifting, 77%, Youkai, 74%, Seinen, 70%, Cute Girls Doing Cute Things, 69%, Acting, 68%, Kemonomimi, 62%, Mythology, 57%, Animals, 57%, Tsundere, 56%, Age Gap, 32%, Ojou-sama, 25%, Disability, 20%, Show 1 spoiler tags","['Planning', '2888', 'Users', 'Completed', '1531', 'Users', 'Current', '1320', 'Users', 'Dropped', '945', 'Users']",False,False,1.62,1.89,0.62,5666.73,4851,0.7,1.7,,0.19,,,1.17,,,,,0.05,1.42,,,,,,,0.14,,,,0.85,,,0.21,0.26,,,,,0.14,0.14,,,,,0.12,,,
C Danchi,48,C団地,C Danchi,Housing Complex C,nan,Fall 2022,64,6273,Horror,"Rural, 92%, Female Protagonist, 90%, Body Horror, 66%, Cult, 26%, Hikikomori, 20%, Show 10 spoiler tags","['Planning', '3343', 'Users', 'Completed', '1726', 'Users', 'Current', '738', 'Users', 'Dropped', '350', 'Users']",False,False,4.93,1.94,0.2,4704.75,3072,0.49,1.25,,,,,,,,,,,,,,0.34,,,,,,0.01,,,,,,,,,0.01,,0.05,0.05,,,,,,,,
Yama no Susume: Next Summit,75,ヤマノススメ Next Summit,Yama no Susume: Next Summit,Encouragement of Climb: Next Summit,#ヤマノススメ,Fall 2022,112,5698,"Adventure, Comedy, Slice of Life","Outdoor, 82%, Iyashikei, 77%, Primarily Female Cast, 76%, Cute Girls Doing Cute Things, 75%, Female Protagonist, 60%, Seinen, 60%, Educational, 50%, Fishing, 20%, Primarily Teen Cast, 20%, Episodic, 20%, Photography, 20%","['Planning', '3016', 'Users', 'Completed', '1519', 'Users', 'Current', '893', 'Users', 'Dropped', '162', 'Users']",True,False,9.38,1.99,0.11,3815.62,8400,1.47,3.48,,,,2.29,2.29,,,,,,,,,,,,,,,,,3.0,,0.09,0.09,0.69,,,,,0.28,0.28,,,,,0.28,,,0.35
Seiken Densetsu: Legend of Mana - The Teardrop Crystal,51,聖剣伝説 Legend of Mana -The Teardrop Crystal-,Seiken Densetsu: Legend of Mana - The Teardrop Crystal,Legend of Mana -The Teardrop Crystal-,#LoMアニメ #聖剣伝説,Fall 2022,88,4684,"Adventure, Fantasy","Male Protagonist, 79%, Swordplay, 70%, Heterosexual, 60%, Magic, 40%, Anthropomorphism, 20%","['Planning', '2054', 'Users', 'Current', '920', 'Users', 'Completed', '787', 'Users', 'Dropped', '787', 'Users']",False,False,1.0,2.61,1.0,2714.59,4488,0.96,2.63,,,0.1,0.69,,,,,,0.08,1.05,,0.06,,,,,,,,,,,,,,,,,,0.11,,0.11,,,,,,,
Yowamushi Pedal: LIMIT BREAK,69,弱虫ペダル LIMIT BREAK,Yowamushi Pedal: LIMIT BREAK,Yowamushi Pedal Limit Break,#yp_anime,Fall 2022,105,4228,"Comedy, Drama, Sports","Cycling, 86%, Shounen, 79%, Male Protagonist, 60%","['Current', '2028', 'Users', 'Planning', '2001', 'Users', 'Paused', '75', 'Users', 'Dropped', '70', 'Users']",True,False,0.0,0.0,0.0,2778.4,7245,1.71,0.0,,,,,2.4,,,2.4,,,,,,,,,,,,,,,,3.23,,,,,,,0.29,,0.29,,0.38,,,,,
Muv-Luv Alternative 2nd Season,61,マブラヴ オルタネイティヴ 第二期,Muv-Luv Alternative 2nd Season,Muv-Luv Alternative Season 2,#マブラヴ #マブラヴアニメ,Fall 2022,66,3238,"Action, Drama, Mecha, Sci-Fi","Aliens, 73%, Military, 73%, Female Harem, 66%, War, 60%, Real Robot, 50%, Isekai, 50%, Guns, 20%, Swordplay, 20%, Show 2 spoiler tags","['Planning', '1481', 'Users', 'Completed', '1026', 'Users', 'Current', '561', 'Users', 'Dropped', '113', 'Users']",True,False,9.08,1.44,0.11,2992.7,4026,1.24,2.54,,,1.6,,,,0.19,1.43,,,0.06,,,,1.71,1.71,,,0.44,,0.14,,,,,,,,,,,,,,,,,,,
IDOLiSH7: Third BEAT! Part 2,77,アイドリッシュセブン Third BEAT! 第2クール,IDOLiSH7: Third BEAT! Part 2,IDOLiSH7 Third BEAT! Part 2,#アイナナ #アニナナ3期,Fall 2022,80,2311,Music,"Idol, 90%, Revenge, 79%, Work, 76%, Primarily Male Cast, 70%, Ensemble Cast, 65%, Primarily Adult Cast, 64%, Found Family, 60%, Dancing, 50%, Urban, 33%, Otaku Culture, 30%, Twins, 20%","['Planning', '1182', 'Users', 'Current', '949', 'Users', 'Paused', '80', 'Users', 'Completed', '52', 'Users']",True,False,0.0,22.73,0.0,2224.34,6160,2.67,6.15,,,,,,,,0.67,,,,,,,,,,,,0.28,,1.16,,,0.43,,4.27,0.77,,,0.56,,,0.56,,,,,,
Human Bug Daigaku,61,ヒューマンバグ大学,Human Bug Daigaku,The Human Crazy University,#ヒューマンバグ大学,Fall 2022,40,2183,"Comedy, Mystery, Psychological","Educational, 96%, Amnesia, 79%, Male Protagonist, 75%, Crime, 60%, Foreign, 46%, Show 4 spoiler tags","['Completed', '698', 'Users', 'Planning', '578', 'Users', 'Current', '452', 'Users', 'Dropped', '392', 'Users']",False,False,1.78,0.83,0.56,3329.08,2440,1.12,2.12,,,,,1.28,,,,1.69,,,,,,,,,,,0.15,,,,,,,,,1.28,,0.19,,0.19,,,,,,,
Cyberpunk: Edgerunners,85,サイバーパンク エッジランナーズ,Cyberpunk: Edgerunners,CYBERPUNK: EDGERUNNERS,#エッジランナーズ #Edgerunners,Summer 2022,9854,119862,"Action, Drama, Psychological, Sci-Fi","Cyberpunk, 98%, Crime, 93%, Dystopian, 91%, Cyborg, 91%, Male Protagonist, 88%, Gangs, 87%, Urban, 85%, Gore, 85%, Guns, 82%, Primarily Adult Cast, 77%, Heterosexual, 76%, Drugs, 74%, Coming of Age, 71%, Nudity, 68%, Artificial Intelligence, 61%, Ensemble Cast, 61%, Software Development, 48%, Time Manipulation, 45%, Cars, 43%, Video Games, 40%, Show 8 spoiler tags","['Completed', '82089', 'Users', 'Planning', '25328', 'Users', 'Current', '10361', 'Users', 'Paused', '1150', 'Users']",False,False,0.0,0.31,0.0,1033.92,837590,6.99,9.06,2.1,,20.57,,,1.68,,18.57,,1.87,,,,,26.88,,,,2.02,9.56,,,,,,,,,12.33,,2.92,,2.17,1.5,,,,,2.24,
Tomodachi Game,76,トモダチゲーム,Tomodachi Game,Tomodachi Game,#トモダチゲーム,Spring 2022,2262,71513,"Drama, Mystery, Psychological","Survival, 92%, Anti-Hero, 91%, Male Protagonist, 91%, Shounen, 90%, Tragedy, 67%, Ensemble Cast, 66%, Heterosexual, 65%, Gambling, 60%, CGI, 48%, Show 10 spoiler tags","['Completed', '38735', 'Users', 'Planning', '19043', 'Users', 'Current', '8468', 'Users', 'Dropped', '3552', 'Users']",False,False,10.91,0.49,0.09,2402.74,171912,2.4,3.64,,,,,,,,5.19,3.8,0.49,,,,,,,,,,,,,,,,,,,3.8,,1.19,,0.69,0.5,0.68,,,,,
JoJo no Kimyou na Bouken: Stone Ocean Part 2,83,ジョジョの奇妙な冒険 ストーンオーシャン 2クール,JoJo no Kimyou na Bouken: Stone Ocean Part 2,"""JoJos Bizarre Adventure: STONE OCEAN Part 2""",#jojo_anime,Summer 2022,1657,46670,"Action, Adventure, Drama, Supernatural","Super Power, 93%, Female Protagonist, 92%, Primarily Female Cast, 88%, Shounen, 73%, Foreign, 66%, Urban Fantasy, 62%, Gore, 60%, Primarily Adult Cast, 55%, Ensemble Cast, 51%, Urban, 40%, CGI, 30%, Vampire, 28%, Torture, 23%, Show 10 spoiler tags","['Completed', '23499', 'Users', 'Planning', '14356', 'Users', 'Current', '7756', 'Users', 'Paused', '817', 'Users']",True,False,0.0,0.61,0.0,2337.72,137531,2.95,4.4,0.73,,8.2,5.09,,,,5.09,,,0.92,,,,,,6.98,,,0.41,,,,,,0.9,,,,,1.2,0.94,,0.52,0.74,,,,,
Kotarou wa Hitorigurashi,83,コタローは１人暮らし,Kotarou wa Hitorigurashi,Kotaro Lives Alone,#コタローは1人暮らし #kotaro1_anime,Winter 2022,1302,30939,"Comedy, Drama, Slice of Life","Family Life, 89%, Found Family, 86%, School, 79%, Primarily Adult Cast, 79%, Episodic, 78%, Coming of Age, 73%, Male Protagonist, 72%, Seinen, 65%, Cute Boys Doing Cute Things, 35%, Delinquents, 16%, Show 2 spoiler tags","['Completed', '19379', 'Users', 'Planning', '7560', 'Users', 'Current', '2743', 'Users', 'Paused', '734', 'Users']",False,False,0.0,0.39,0.0,1972.3,108066,3.49,4.89,,,,,6.03,,,7.79,,,,,,,,,,,,0.19,,10.25,0.95,,,0.42,,,,,0.87,,0.87,,,,0.78,,,
Romantic Killer,81,ロマンティック・キラー,Romantic Killer,Romantic Killer,#ロマキラ,Fall 2022,1350,30226,"Comedy, Romance","Parody, 98%, Female Protagonist, 97%, Primarily Teen Cast, 93%, Male Harem, 89%, Slapstick, 88%, Love Triangle, 86%, Urban Fantasy, 81%, Meta, 81%, Magic, 78%, Anti-Hero, 70%, Video Games, 63%, School, 60%, Heterosexual, 60%, Asexual, 59%, Shounen, 46%, CGI, 20%, Show 4 spoiler tags","['Completed', '16336', 'Users', 'Planning', '9633', 'Users', 'Current', '3439', 'Users', 'Dropped', '490', 'Users']",False,False,33.34,0.59,0.03,1813.56,109350,3.62,5.53,,,,,10.65,,1.09,,,9.67,1.94,,0.95,,,,,,,,,,0.73,,,,,,,,1.18,1.18,,,0.56,,,,,
Kakegurui Twin,73,賭ケグルイ双,Kakegurui Twin,KAKEGURUI TWIN,#賭ケグルイ双,Summer 2022,339,26951,"Drama, Mystery, Psychological","Gambling, 94%, Primarily Female Cast, 84%, School, 82%, Female Protagonist, 81%, School Club, 65%, Shounen, 60%, Maids, 40%, Gyaru, 35%, Show 1 spoiler tags","['Planning', '12173', 'Users', 'Completed', '12145', 'Users', 'Current', '1897', 'Users', 'Paused', '396', 'Users']",False,False,0.0,1.0,0.0,5803.61,24747,0.92,1.76,,0.1,,,,,,1.38,1.38,,,,,,,,,,,,,,0.23,,,0.34,,,1.38,0.18,0.22,0.22,,,0.17,,,,,
Vampire in the Garden,70,ヴァンパイア・イン・ザ・ガーデン,Vampire in the Garden,Vampire in the Garden,#vampire_anime,Spring 2022,362,17049,"Action, Adventure, Drama, Fantasy, Music, Sci-Fi","Vampire, 97%, War, 94%, Travel, 88%, Female Protagonist, 86%, Military, 85%, Primarily Female Cast, 79%, Dystopian, 74%, Post-Apocalyptic, 66%, Guns, 64%, Gore, 61%, Foreign, 61%, Urban Fantasy, 60%, CGI, 50%, Swordplay, 42%, Show 4 spoiler tags","['Planning', '8216', 'Users', 'Completed', '7418', 'Users', 'Current', '917', 'Users', 'Dropped', '293', 'Users']",False,False,25.32,1.11,0.04,3296.77,25340,1.49,3.04,0.26,,3.3,2.87,,,,2.75,,,3.29,,,,2.12,,,,1.03,0.31,,,,,,0.34,2.12,,,,0.37,0.37,,,,,,,0.59,
BASTARD!!: Ankoku no Hakaishin (ONA),63,BASTARD!! －暗黒の破壊神－,BASTARD!!: Ankoku no Hakaishin (ONA),"BASTARD!! -Heavy Metal, Dark Fantasy-",#bastard_anime,Summer 2022,329,16428,"Action, Adventure, Comedy, Ecchi, Fantasy","Magic, 97%, Heterosexual, 95%, Female Harem, 84%, Male Protagonist, 82%, Demons, 80%, Post-Apocalyptic, 70%, Gore, 68%, Nudity, 67%, Meta, 65%, Revenge, 63%, Gods, 60%, Ninja, 60%, Elf, 60%, Dragons, 50%, Bisexual, 48%, Vampire, 33%, CGI, 32%, Goblin, 20%, Show 1 spoiler tags","['Planning', '6644', 'Users', 'Completed', '4033', 'Users', 'Current', '3405', 'Users', 'Dropped', '1449', 'Users']",False,True,2.78,1.65,0.36,3145.79,20727,1.26,2.79,0.21,,1.95,1.54,1.54,1.95,0.26,0.19,,0.34,3.22,,0.3,,,,0.25,,,,,,,,,,,,,,0.25,,0.25,,,,,,0.21,
Yojouhan Time Machine Blues,81,四畳半タイムマシンブルース,Yojouhan Time Machine Blues,The Tatami Time Machine Blues,#四畳半タイムマシンブルース,Summer 2022,227,14166,"Comedy, Mystery, Psychological, Romance, Sci-Fi","Time Manipulation, 94%, Male Protagonist, 79%, Ensemble Cast, 63%, School Club, 45%, College, 40%, Heterosexual, 40%","['Planning', '9965', 'Users', 'Completed', '3062', 'Users', 'Current', '974', 'Users', 'Paused', '105', 'Users']",False,False,0.0,3.25,0.0,5054.83,18387,1.3,4.56,,,,,2.19,,,,2.19,2.54,,,,,3.01,,,,,,,,,,,,,,2.19,0.2,0.62,,0.35,0.28,,,,,,
Oemojisangjuui,76,외모지상주의,Oemojisangjuui,Lookism,#외모지상주의 #Lookism,nan,514,13247,"Action, Comedy, Drama, Supernatural","Body Swapping, 89%, Bullying, 87%, Male Protagonist, 79%, School, 72%, Gangs, 58%, Martial Arts, 55%, CGI, 20%, Show 4 spoiler tags","['Completed', '8588', 'Users', 'Planning', '3054', 'Users', 'Current', '1325', 'Users', 'Dropped', '189', 'Users']",False,False,45.44,0.36,0.02,1958.7,39064,2.95,3.94,,,4.66,,4.66,,,6.28,,,,,,,,,4.66,,,0.54,,,0.67,,,,,,,,0.74,,0.74,,,,,,,
Chikyuugai Shounen Shoujo,68,地球外少年少女,Chikyuugai Shounen Shoujo,The Orbital Children,#地球外少年少女,Winter 2022,138,12178,"Adventure, Sci-Fi","Space, 93%, Artificial Intelligence, 90%, Survival, 88%, Conspiracy, 79%, Primarily Child Cast, 76%, Robots, 64%, Philosophy, 53%, Disability, 40%, Software Development, 40%, Environmental, 20%, Show 2 spoiler tags","['Planning', '6314', 'Users', 'Completed', '4768', 'Users', 'Current', '619', 'Users', 'Dropped', '302', 'Users']",False,False,15.79,1.32,0.06,6000.75,9384,0.77,1.74,,,,1.14,,,,0.19,,,,,,,1.83,,,,,0.15,,,,,,,,,0.11,,,,,,,,,,,
SPRIGGAN (ONA),68,スプリガン (ONA),SPRIGGAN (ONA),SPRIGGAN (ONA),#スプリガン,Spring 2022,118,8614,"Action, Adventure, Sci-Fi","Lost Civilization, 80%, Episodic, 79%, Gore, 66%, Shounen, 60%, Military, 60%, CGI, 57%, Post-Apocalyptic, 56%","['Planning', '4438', 'Users', 'Completed', '2823', 'Users', 'Current', '788', 'Users', 'Dropped', '359', 'Users']",False,False,7.86,1.57,0.13,4964.0,8024,0.93,2.22,0.17,,1.62,1.28,,,,,,,,,,,1.28,,,,0.15,,,,,,,,,,,,,,,,0.15,,,,0.35,
Thermae Romae Novae,69,テルマエ・ロマエ ノヴァエ,Thermae Romae Novae,Thermae Romae Novae,nan,Spring 2022,90,5769,"Comedy, Slice of Life","Time Manipulation, 88%, Male Protagonist, 86%, Anachronism, 80%, Seinen, 70%, Foreign, 70%, Historical, 68%, Language Barrier, 68%, Work, 66%, Primarily Adult Cast, 64%, LGBTQ+ Themes, 30%","['Completed', '2422', 'Users', 'Planning', '2302', 'Users', 'Current', '554', 'Users', 'Dropped', '314', 'Users']",False,False,7.71,0.95,0.13,4422.9,6210,1.08,2.09,,,,,1.51,,,,,,,,,,0.27,,,0.21,,,,1.91,,,,,,,,,0.26,,0.26,,,,0.21,,,
Ousama Ranking,85,王様ランキング,Ousama Ranking,Ranking of Kings,#王様ランキング,Fall 2021,6422,117149,"Action, Adventure, Drama, Fantasy","Disability, 95%, Coming of Age, 93%, Fairy Tale, 91%, Male Protagonist, 86%, Language Barrier, 83%, Ensemble Cast, 82%, Swordplay, 71%, Bullying, 71%, Magic, 66%, Assassins, 53%, Seinen, 52%, Gore, 47%, Achronological Order, 46%, Tsundere, 43%, Age Gap, 43%, Kaiju, 20%, Show 6 spoiler tags","['Completed', '57459', 'Users', 'Planning', '33820', 'Users', 'Current', '18947', 'Users', 'Paused', '4620', 'Users']",False,False,0.0,0.59,0.0,1550.56,545870,4.66,7.14,0.77,0.71,12.1,8.22,,,,12.45,,0.71,14.27,,1.09,,,,,,0.87,,,,,,,,,,,,2.76,,1.41,1.35,,,0.86,,,
Akiba Meido sensou ,75,アキバ冥途戦争,Akiba Meido Sensou,Akiba Maid War,#アキバ冥途戦争,Fall 2022,769,30523,"Action, Comedy, Drama","Yakuza, 99%, Primarily Female Cast, 97%, Maids, 97%, Crime, 97%, Female Protagonist, 94%, Gangs, 94%, Work, 88%, Guns, 88%, Surreal Comedy, 87%, Parody, 85%, Urban, 85%, Primarily Adult Cast, 85%, Found Family, 85%, Otaku Culture, 82%, Tragedy, 81%, Gore, 80%, Kemonomimi, 74%, Time Skip, 68%, Anachronism, 65%, Ensemble Cast, 65%, War, 64%, Kuudere, 64%, Gyaru, 62%, Conspiracy, 52%, Disability, 50%, Cute Girls Doing Cute Things, 50%, Ninja, 48%, Gambling, 48%, Baseball, 46%, Boxing, 46%, Poker, 37%, Food, 35%, Tanned Skin, 30%, Show 17 spoiler tags","['Completed', '10825', 'Users', 'Planning', '10231', 'Users', 'Current', '6925', 'Users', 'Dropped', '1761', 'Users']",False,False,6.15,0.95,0.16,2976.89,57675,1.89,3.25,0.47,0.74,4.91,,4.96,,,2.94,,,,,,,,,,,0.89,1.67,,0.68,,0.54,,1.21,,,,,0.93,0.55,,0.38,,,,,,
